,latitude,longitude
33298388,44.9105565,-93.3048615
33298394,44.8193096,-93.3088257
33298397,44.9878564,-93.2242188
33298402,44.912347,-93.303581
33298405,44.985195,-93.490273
33298419,44.943893,-93.360375
33298420,44.910637,-93.480484
33298426,44.9112339,-93.4826943
33298427,44.944483,-93.359006
33298428,44.912479,-93.322662
33298431,44.91247,-93.321388
33298432,44.995144,-93.3095046
33298434,44.908878,-93.323921
33298435,44.943851,-93.364258
33298436,44.813068,-93.329536
33298437,44.910681,-93.323928
33298438,44.8235932,-93.3249355
33298439,44.813457,-93.328094
33298440,44.9952291,-93.3069751
33298441,44.8235104,-93.3250635
33298444,44.91067,-93.322654
33298447,44.9941583,-93.3082335
33298448,44.8256361,-93.3342172
33298450,44.821991,-93.416718
33298451,44.8220389,-93.4189908
33298454,44.9974295,-93.3069629
33298455,44.9974255,-93.3057117
33298462,44.813793,-93.326859
33298465,44.908867,-93.322647
33298468,44.8227004,-93.301363
33298469,44.8227325,-93.3027318
33298471,44.907081,-93.323909
33298472,44.9388093,-93.3500344
33298473,44.9387962,-93.3496582
33298494,44.9113249,-93.4814525
33298502,44.94603,-93.360458
33298503,44.9969518,-93.3082286
33298507,44.996964,-93.309494
33298512,44.925108,-93.2346804
33298514,44.8370766,-93.26828
33298516,44.9963437,-93.3082336
33298517,44.943878,-93.361687
33298525,44.826271,-93.273422
33298527,44.946743,-93.360481
33298528,44.9951838,-93.308235
33298532,44.944519,-93.360397
33298533,44.9963405,-93.3069709
33298538,44.84795,-93.26062
33298540,44.9270176,-93.2115045
33298544,44.831299,-93.278458
33298546,44.92882,-93.212757
33298548,44.79686,-93.331589
33298551,44.9288438,-93.2102284
33298554,44.8443365,-93.2632456
33298578,44.946021,-93.361755
33298579,44.946013,-93.363042
33298583,44.991491,-93.2409539
33298584,44.9932984,-93.2409715
33298585,44.949505,-93.356979
33298586,44.9914914,-93.2396892
33298587,44.8407295,-93.2632228
33298589,44.99329,-93.239701
33298590,44.9269124,-93.2359676
33298591,44.8798999,-93.2542028
33298593,44.9269114,-93.2346948
33298595,44.943863,-93.3629654
33298600,44.844337,-93.261902
33298601,44.844337,-93.262054
33298603,44.890491,-93.477371
33299491,44.930646,-93.21148
33299500,44.930636,-93.212753
33299513,44.928831,-93.211483
33299516,44.81189,-93.310387
33299517,44.811886,-93.310036
33299521,44.804741,-93.301178
33299522,44.804741,-93.30098
33299535,44.9306509,-93.2102171
33299544,44.8281761,-93.3111446
33299549,44.851553,-93.2657006
33299551,44.851552,-93.266968
33299557,44.8299744,-93.3088467
33299558,44.8536148,-93.2644133
33299559,44.960892,-93.27021
33299565,44.853359,-93.264412
33299574,44.8290311,-93.3110226
33299575,44.962692,-93.267654
33299576,44.853359,-93.266956
33299577,44.853359,-93.265686
33299578,44.9626925,-93.2714944
33299579,44.9626932,-93.2702164
33299586,44.833939,-93.310341
33299588,44.883686,-93.357559
33299590,44.9626933,-93.2689687
33299591,44.9639563,-93.2689352
33299598,44.887375,-93.497215
33299602,44.9639548,-93.2676579
33299606,44.887257,-93.358551
33299607,44.9845749,-93.3134144
33299608,44.887257,-93.35752
33299611,44.833561,-93.311363
33299619,44.88942,-93.356277
33299620,44.832363,-93.312637
33299625,44.832237,-93.311371
33299626,44.829819,-93.311142
33299628,44.831902,-93.311134
33299629,44.965103,-93.267654
33299646,44.886055,-93.360405
33299653,44.989902,-93.31208
33299664,44.888111,-93.496971
33299672,44.988504,-93.313361
33299673,44.887016,-93.360049
33299679,44.990087,-93.313357
33299700,44.990158,-93.314629
33299702,44.991536,-93.314628
33299710,44.8768472,-93.49568
33299711,44.887872,-93.36003
33299721,44.8332854,-93.4961124
33299750,44.804455,-93.301895
33299753,44.988918,-93.315903
33299759,44.988991,-93.314629
33299760,44.8345694,-93.4961254
33299766,44.8392106,-93.4285697
33299769,44.835991,-93.4963
33299774,44.811478,-93.336403
33299776,44.907074,-93.322636
33299777,44.811653,-93.335892
33299778,44.908858,-93.321365
33299781,44.9054941,-93.4288382
33299782,44.8381773,-93.4282697
33299783,44.8103784,-93.3376496
33299784,44.8101903,-93.338184
33299786,44.910659,-93.321376
33299789,44.8382086,-93.4275646
33299791,44.8229824,-93.3030126
33299792,44.9963435,-93.3057109
33299796,44.876308,-93.27562
33299799,44.986984,-93.441742
33299824,44.988815,-93.439194
33299825,44.880997,-93.394867
33299826,44.987432,-93.4199161
33299827,44.9780637,-93.3551987
33299830,44.9746136,-93.352196
33299840,44.882172,-93.394867
33299841,44.9699246,-93.3555292
33299842,44.9001698,-93.46202
33299845,44.882256,-93.396614
33299862,44.876312,-93.278168
33299878,44.9888346,-93.4240148
33299879,44.876312,-93.276901
33299905,44.96262,-93.455139
33299910,44.869019,-93.474464
33299911,44.868992,-93.475258
33299912,44.876305,-93.279442
33299913,44.876305,-93.280724
33299920,44.96056,-93.433487
33299930,45.0025846,-93.2910472
33299954,44.9787854,-93.4367578
33299955,44.9787854,-93.4368776
33299956,45.001494,-93.2910554
33299960,44.816914,-93.293282
33299966,44.9787507,-93.4409431
33299969,44.9787507,-93.4409873
33299980,44.816254,-93.294434
33299988,44.9770643,-93.4476722
33300014,44.851551,-93.264427
33300016,44.851555,-93.263155
33300021,44.9820903,-93.4536898
33300053,44.9466435,-93.300856
33300055,44.9447395,-93.30088
33300062,44.9413973,-93.4211155
33300063,44.9393154,-93.4210924
33300064,44.9466389,-93.2995709
33300068,44.942078,-93.42112
33300069,44.9853335,-93.462093
33300074,44.9418771,-93.4223332
33300079,44.9466409,-93.302134
33300081,44.9447397,-93.302155
33300087,44.983818,-93.462189
33300111,44.9930123,-93.3324229
33300112,44.9930871,-93.3325062
33300113,44.9933686,-93.3327457
33300119,44.968859,-93.2596764
33300120,44.9688591,-93.2581882
33300122,44.9679902,-93.2581705
33300127,44.9161264,-93.3265327
33300133,44.93048,-93.3116991
33300136,44.9323312,-93.3121831
33300158,44.964207,-93.417946
33300172,44.965637,-93.4179
33300177,44.9447394,-93.2996
33300178,44.914319,-93.327785
33300182,44.965591,-93.420517
33300186,44.8673,-93.292229
33300187,44.869095,-93.292221
33300188,44.916107,-93.325249
33300189,44.888816,-93.292156
33300193,44.83823,-93.442467
33300194,44.914312,-93.326515
33300195,44.8878238,-93.2934323
33300197,44.839077,-93.443298
33300198,44.838619,-93.442841
33300200,44.840725,-93.292381
33300203,44.8425446,-93.2923529
33300204,44.8893304,-93.2934073
33300205,44.888824,-93.293419
33300211,44.869091,-93.287125
33300219,44.872686,-93.285835
33300225,44.870891,-93.287115
33300226,44.872683,-93.287106
33300234,44.967625,-93.398003
33300237,44.917923,-93.325485
33300238,44.9664887,-93.2581845
33300243,44.968571,-93.398582
33300250,44.9953346,-93.4161497
33300270,44.840721,-93.291115
33300272,44.867302,-93.290996
33300287,44.8406346,-93.4441303
33300289,44.869095,-93.290993
33300290,44.9715038,-93.2564659
33300291,44.9402456,-93.4955295
33300299,44.865503,-93.292237
33300300,44.9720753,-93.2578092
33300301,44.9711152,-93.2586265
33300309,44.8425393,-93.2911087
33300317,44.9639687,-93.3600843
33300340,44.879539,-93.394699
33300347,44.879463,-93.397728
33300362,44.881374,-93.398643
33300379,44.964507,-93.362355
33300384,44.963951,-93.363388
33300385,44.876308,-93.274345
33300388,44.965683,-93.360749
33300400,44.83522,-93.392387
33300413,44.834793,-93.392731
33300440,44.835083,-93.391251
33300459,44.8887454,-93.3949107
33300463,44.888808,-93.396089
33300475,44.9870508,-93.4638296
33300487,44.8119685,-93.3006927
33300514,44.809433,-93.299911
33300517,44.9835637,-93.4634231
33300521,44.8102349,-93.3016693
33300539,44.9973019,-93.3313281
33300543,44.9974367,-93.3309843
33300545,44.810234,-93.300148
33300550,44.9945282,-93.3326658
33300571,44.8119435,-93.298831
33300601,44.91066,-93.260094
33300602,44.9358052,-93.2204027
33300604,44.9378097,-93.2203881
33300613,44.984394,-93.427528
33300629,44.9341898,-93.2216854
33300631,44.908871,-93.261368
33300649,44.908875,-93.260094
33300654,44.9357929,-93.2216861
33300655,44.9357741,-93.2229454
33300658,44.9342015,-93.2204114
33300683,44.9396154,-93.2203872
33300684,44.9396275,-93.2191076
33300695,44.907058,-93.260094
33300696,44.995094,-93.225449
